STATISTIC CODE,Statistic,TLIST(A1),Year,LGD2014,Local Government District,VALUE
ART,"Ambulance response time, median",2017,2017,N09000002,"Armagh City, Banbridge and Craigavon",9
ART,"Ambulance response time, median",2017,2017,N09000003,Belfast,52
ART,"Ambulance response time, median",2017,2017,N09000004,Causeway Coast and Glens,16
ART,"Ambulance response time, median",2017,2017,N09000005,Derry City and Strabane,22
ART,"Ambulance response time, median",2017,2017,N09000006,Fermanagh and Omagh,44
ART,"Ambulance response time, median",2017,2017,N09000007,Lisburn and Castlereagh,47
ART,"Ambulance response time, median",2017,2017,N09000008,Mid and East Antrim,57
ART,"Ambulance response time, median",2017,2017,N09000009,Mid Ulster,7
ART,"Ambulance response time, median",2017,2017,N09000010,"Newry, Mourne and Down",25
ART,"Ambulance response time, median",2017,2017,N09000011,Ards and North Down,58
ART,"Ambulance response time, median",2017,2017,N92000002,NI,36
ART,"Ambulance response time, median",2018,2018,N09000001,Antrim and Newtownabbey,38
ART,"Ambulance response time, median",2018,2018,N09000002,"Armagh City, Banbridge and Craigavon",17
ART,"Ambulance response time, median",2018,2018,N09000003,Belfast,0
ART,"Ambulance response time, median",2018,2018,N09000004,Causeway Coast and Glens,47
ART,"Ambulance response time, median",2018,2018,N09000005,Derry City and Strabane,6
ART,"Ambulance response time, median",2018,2018,N09000006,Fermanagh and Omagh,32
ART,"Ambulance response time, median",2018,2018,N09000007,Lisburn and Castlereagh,49
ART,"Ambulance response time, median",2018,2018,N09000008,Mid and East Antrim,11
ART,"Ambulance response time, median",2018,2018,N09000009,Mid Ulster,21
ART,"Ambulance response time, median",2018,2018,N09000010,"Newry, Mourne and Down",10
ART,"Ambulance response time, median",2018,2018,N09000011,Ards and North Down,1
ART,"Ambulance response time, median",2018,2018,N92000002,NI,36
ART,"Ambulance response time, median",2019,2019,N09000001,Antrim and Newtownabbey,26
ART,"Ambulance response time, median",2019,2019,N09000002,"Armagh City, Banbridge and Craigavon",50
ART,"Ambulance response time, median",2019,2019,N09000003,Belfast,25
ART,"Ambulance response time, median",2019,2019,N09000004,Causeway Coast and Glens,21
ART,"Ambulance response time, median",2019,2019,N09000005,Derry City and Strabane,28
ART,"Ambulance response time, median",2019,2019,N09000006,Fermanagh and Omagh,41
ART,"Ambulance response time, median",2019,2019,N09000007,Lisburn and Castlereagh,56
ART,"Ambulance response time, median",2019,2019,N09000008,Mid and East Antrim,10
ART,"Ambulance response time, median",2019,2019,N09000009,Mid Ulster,5
ART,"Ambulance response time, median",2019,2019,N09000010,"Newry, Mourne and Down",48
ART,"Ambulance response time, median",2019,2019,N09000011,Ards and North Down,4
ART,"Ambulance response time, median",2019,2019,N92000002,NI,36
ART,"Ambulance response time, median",2020,2020,N09000001,Antrim and Newtownabbey,45
ART,"Ambulance response time, median",2020,2020,N09000002,"Armagh City, Banbridge and Craigavon",36
ART,"Ambulance response time, median",2020,2020,N09000003,Belfast,6
ART,"Ambulance response time, median",2020,2020,N09000004,Causeway Coast and Glens,41
ART,"Ambulance response time, median",2020,2020,N09000005,Derry City and Strabane,58
ART,"Ambulance response time, median",2020,2020,N09000006,Fermanagh and Omagh,2
ART,"Ambulance response time, median",2020,2020,N09000007,Lisburn and Castlereagh,15
ART,"Ambulance response time, median",2020,2020,N09000008,Mid and East Antrim,53
ART,"Ambulance response time, median",2020,2020,N09000009,Mid Ulster,20
ART,"Ambulance response time, median",2020,2020,N09000010,"Newry, Mourne and Down",27
ART,"Ambulance response time, median",2020,2020,N09000011,Ards and North Down,13
ART,"Ambulance response time, median",2020,2020,N92000002,NI,14
ART,"Ambulance response time, median",2021,2021,N09000001,Antrim and Newtownabbey,34
ART,"Ambulance response time, median",2021,2021,N09000002,"Armagh City, Banbridge and Craigavon",19
ART,"Ambulance response time, median",2021,2021,N09000003,Belfast,18
ART,"Ambulance response time, median",2021,2021,N09000004,Causeway Coast and Glens,13
ART,"Ambulance response time, median",2021,2021,N09000005,Derry City and Strabane,45
ART,"Ambulance response time, median",2021,2021,N09000006,Fermanagh and Omagh,25
ART,"Ambulance response time, median",2021,2021,N09000007,Lisburn and Castlereagh,12
ART,"Ambulance response time, median",2021,2021,N09000008,Mid and East Antrim,47
ART,"Ambulance response time, median",2021,2021,N09000009,Mid Ulster,4
ART,"Ambulance response time, median",2021,2021,N09000010,"Newry, Mourne and Down",24
ART,"Ambulance response time, median",2021,2021,N09000011,Ards and North Down,50
ART,"Ambulance response time, median",2021,2021,N92000002,NI,37
